Date;Day;Action;Protester;State/target;Agent;Event;Country;Location;Issue;Link date;Time ;# Protesters;Arrests;Injuries;Deaths;Prop. Damage;# State;Injuries;State killed;OSD;Source;Story date;No event found
01/01/1987;Thu;strike;airline workers;firm;Aer Lingus;strike for higher pay;Ireland;Dublin;wages;04/12/1986;;1100;0;0;0;N;0;0;0;678827;Irish Times;20/01/1987;
01/01/1987;Thu;strike;ferry workers;government;B & I;strike for higher pay;Ireland;Ireland;wages;;;166;0;0;0;N;0;0;0;678827;Irish Independent;05/02/1987;
02/01/1987;Fri;strike;airline workers;firm;Aer Lingus;strike for higher pay;Ireland;Dublin;wages;04/12/1986;;1100;0;0;0;N;0;0;0;678827;Irish Times;20/01/1987;
02/01/1987;Fri;strike;ferry workers;government;B & I;strike for higher pay;Ireland;Ireland;wages;;;166;0;0;0;N;0;0;0;678827;Irish Independent;05/02/1987;
03/01/1987;Sat;strike;airline workers;firm;Aer Lingus;strike for higher pay;Ireland;Dublin;wages;04/12/1986;;1100;0;0;0;N;0;0;0;678827;Irish Times;20/01/1987;
03/01/1987;Sat;strike;ferry workers;government;B & I;strike for higher pay;Ireland;Ireland;wages;;;166;0;0;0;N;0;0;0;678827;Irish Independent;05/02/1987;
04/01/1987;Sun;strike;airline workers;firm;Aer Lingus;strike for higher pay;Ireland;Dublin;wages;04/12/1986;;1100;0;0;0;N;0;0;0;678827;Irish Times;20/01/1987;
04/01/1987;Sun;strike;ferry workers;government;B & I;strike for higher pay;Ireland;Ireland;wages;;;166;0;0;0;N;0;0;0;678827;Irish Independent;05/02/1987;
05/01/1987;Mon;strike;airline workers;firm;Aer Lingus;strike for higher pay;Ireland;Dublin;wages;04/12/1986;;1100;0;0;0;N;0;0;0;678827;Irish Times;20/01/1987;
05/01/1987;Mon;strike;ferry workers;government;B & I;strike for higher pay;Ireland;Ireland;wages;;;166;0;0;0;N;0;0;0;678827;Irish Independent;05/02/1987;
06/01/1987;Tue;strike;airline workers;firm;Aer Lingus;strike for higher pay;Ireland;Dublin;wages;04/12/1986;;1100;0;0;0;N;0;0;0;678827;Irish Times;20/01/1987;
06/01/1987;Tue;strike;ferry workers;government;B & I;strike for higher pay;Ireland;Ireland;wages;;;166;0;0;0;N;0;0;0;678827;Irish Independent;05/02/1987;
07/01/1987;Wed;strike;airline workers;firm;Aer Lingus;strike for higher pay;Ireland;Dublin;wages;04/12/1986;;1100;0;0;0;N;0;0;0;678827;Irish Times;20/01/1987;
07/01/1987;Wed;strike;ferry workers;government;B & I;strike for higher pay;Ireland;Ireland;wages;;;166;0;0;0;N;0;0;0;678827;Irish Independent;05/02/1987;
08/01/1987;Thu;strike;airline workers;firm;Aer Lingus;strike for higher pay;Ireland;Dublin;wages;04/12/1986;;1100;0;0;0;N;0;0;0;678827;Irish Times;20/01/1987;
08/01/1987;Thu;strike;ferry workers;government;B & I;strike for higher pay;Ireland;Ireland;wages;;;166;0;0;0;N;0;0;0;678827;Irish Independent;05/02/1987;
09/01/1987;Fri;strike;airline workers;firm;Aer Lingus;strike for higher pay;Ireland;Dublin;wages;04/12/1986;;1100;0;0;0;N;0;0;0;678827;Irish Times;20/01/1987;
09/01/1987;Fri;strike;ferry workers;government;B & I;strike for higher pay;Ireland;Ireland;wages;;;166;0;0;0;N;0;0;0;678827;Irish Independent;05/02/1987;
10/01/1987;Sat;strike;auto workers;firm;Packard;strike for higher pay;Ireland;Tallaght;wages;;;900;0;0;0;N;0;0;0;678827;Irish Independent;10/01/1987;
10/01/1987;Sat;bomb-nd;Animal Liberation Front;firm;Switzers;bomb against sales of fur;Ireland;Dublin;animal rights;;;3;0;0;0;Y;2;2;0;3001;Reuters;10/01/1987;
10/01/1987;Sat;strike;airline workers;firm;Aer Lingus;strike for higher pay;Ireland;Dublin;wages;04/12/1986;;1100;0;0;0;N;0;0;0;678827;Irish Times;20/01/1987;
10/01/1987;Sat;strike;ferry workers;government;B & I;strike for higher pay;Ireland;Ireland;wages;;;166;0;0;0;N;0;0;0;678827;Irish Independent;05/02/1987;
11/01/1987;Sun;strike;airline workers;firm;Aer Lingus;strike for higher pay;Ireland;Dublin;wages;04/12/1986;;1100;0;0;0;N;0;0;0;678827;Irish Times;20/01/1987;
11/01/1987;Sun;strike;ferry workers;government;B & I;strike for higher pay;Ireland;Ireland;wages;;;166;0;0;0;N;0;0;0;678827;Irish Independent;05/02/1987;
12/01/1987;Mon;strike;auto workers;firm;Packard;strike for higher pay;Ireland;Tallaght;wages;;;900;0;0;0;N;0;0;0;678827;Irish Independent;16/01/1987;
12/01/1987;Mon;strike;airline workers;firm;Aer Lingus;strike for higher pay;Ireland;Dublin;wages;04/12/1986;;1100;0;0;0;N;0;0;0;678827;Irish Times;20/01/1987;
12/01/1987;Mon;strike;ferry workers;government;B & I;strike for higher pay;Ireland;Ireland;wages;;;166;0;0;0;N;0;0;0;678827;Irish Independent;05/02/1987;
13/01/1987;Tue;strike;auto workers;firm;Packard;strike for higher pay;Ireland;Tallaght;wages;;;900;0;0;0;N;0;0;0;678827;Irish Independent;16/01/1987;
13/01/1987;Tue;strike;airline workers;firm;Aer Lingus;strike for higher pay;Ireland;Dublin;wages;04/12/1986;;1100;0;0;0;N;0;0;0;678827;Irish Times;20/01/1987;
13/01/1987;Tue;strike;ferry workers;government;B & I;strike for higher pay;Ireland;Ireland;wages;;;166;0;0;0;N;0;0;0;678827;Irish Independent;05/02/1987;
14/01/1987;Wed;trial;DUP;government;court;DUP official pleads guilty to vandalism;Ireland;Dublin;British unity;06/08/1986;;1;1;0;0;N;0;0;0;3001;Reuters;15/10/1987;
14/01/1987;Wed;strike;auto workers;firm;Packard;strike for higher pay;Ireland;Tallaght;wages;;;900;0;0;0;N;0;0;0;678827;Irish Independent;16/01/1987;
14/01/1987;Wed;strike;airline workers;firm;Aer Lingus;strike for higher pay;Ireland;Dublin;wages;04/12/1986;;1100;0;0;0;N;0;0;0;678827;Irish Times;20/01/1987;
14/01/1987;Wed;strike;ferry workers;government;B & I;strike for higher pay;Ireland;Ireland;wages;;;166;0;0;0;N;0;0;0;678827;Irish Independent;05/02/1987;
15/01/1987;Thu;strike;auto workers;firm;Packard;strike for higher pay;Ireland;Tallaght;wages;;;900;0;0;0;N;0;0;0;678827;Irish Independent;16/01/1987;
15/01/1987;Thu;strike;airline workers;firm;Aer Lingus;strike for higher pay;Ireland;Dublin;wages;04/12/1986;;1100;0;0;0;N;0;0;0;678827;Irish Times;20/01/1987;
15/01/1987;Thu;strike;ferry workers;government;B & I;strike for higher pay;Ireland;Ireland;wages;;;166;0;0;0;N;0;0;0;678827;Irish Independent;05/02/1987;
16/01/1987;Fri;strike;auto workers;firm;Packard;strike for higher pay;Ireland;Tallaght;wages;;;900;0;0;0;N;0;0;0;678827;Irish Times;17/01/1987;
16/01/1987;Fri;strike;airline workers;firm;Aer Lingus;strike for higher pay;Ireland;Dublin;wages;04/12/1986;;1100;0;0;0;N;0;0;0;678827;Irish Times;20/01/1987;
16/01/1987;Fri;strike;ferry workers;government;B & I;strike for higher pay;Ireland;Ireland;wages;;;166;0;0;0;N;0;0;0;678827;Irish Independent;05/02/1987;
17/01/1987;Sat;strike;auto workers;firm;Packard;strike for higher pay;Ireland;Tallaght;wages;;;900;0;0;0;N;0;0;0;678827;Irish Independent;20/01/1987;
17/01/1987;Sat;strike;airline workers;firm;Aer Lingus;strike for higher pay;Ireland;Dublin;wages;04/12/1986;;1100;0;0;0;N;0;0;0;678827;Irish Times;20/01/1987;
17/01/1987;Sat;strike;ferry workers;government;B & I;strike for higher pay;Ireland;Ireland;wages;;;166;0;0;0;N;0;0;0;678827;Irish Independent;05/02/1987;
18/01/1987;Sun;strike;airline workers;firm;Aer Lingus;strike for higher pay;Ireland;Dublin;wages;04/12/1986;;1100;0;0;0;N;0;0;0;678827;Irish Times;20/01/1987;
18/01/1987;Sun;strike;ferry workers;government;B & I;strike for higher pay;Ireland;Ireland;wages;;;166;0;0;0;N;0;0;0;678827;Irish Independent;05/02/1987;
19/01/1987;Mon;strike;auto workers;firm;Packard;strike for higher pay;Ireland;Tallaght;wages;;;900;0;0;0;N;0;0;0;678827;Irish Independent;20/01/1987;
19/01/1987;Mon;strike;airline workers;firm;Aer Lingus;strike for higher pay;Ireland;Dublin;wages;04/12/1986;;1100;0;0;0;N;0;0;0;678827;Irish Times;20/01/1987;
19/01/1987;Mon;strike;auto workers;firm;Packard;strike for higher pay;Ireland;Tallaght;wages;;;1001;0;0;0;N;0;0;0;678827;Irish Independent;29/01/1987;
19/01/1987;Mon;strike;ferry workers;government;B & I;strike for higher pay;Ireland;Ireland;wages;;;166;0;0;0;N;0;0;0;678827;Irish Independent;05/02/1987;
