Date;Day;Action;Protester;State/target;Agent;Event;Country;Location;Issue;Link date;Time ;# Protesters;Arrests;Injuries;Deaths;Prop. Damage;# State;Injuries;State killed;OSD;Source;Story date;No event found
01/01/1987;Thu;symbolic;DUP;UK;;light bonfires on hilltops across Ulster;UK/Northern Ireland;Northern Ireland;Anglo-Irish accord;15/11/1985;;301;0;0;0;N;0;0;0;350000;Reuters;02/01/1987;
02/01/1987;Fri;attack;PIRA;government;UK troops;double mortar attack on army base;UK/Northern Ireland;Crossmaglen;Irish unity;;;8;0;0;0;Y;301;0;0;102701;Reuters;02/01/1987;
03/01/1987;Sat;;;;;;;;;;;;;;;;;;;;;;no event
04/01/1987;Sun;;;;;;;;;;;;;;;;;;;;;;no event
05/01/1987;Mon;;;;;;;;;;;;;;;;;;;;;;no event
06/01/1987;Tue;;;;;;;;;;;;;;;;;;;;;;no event
07/01/1987;Wed;;;;;;;;;;;;;;;;;;;;;;no event
08/01/1987;Thu;assassination;PIRA;DUP;;shoot & wound a leader of DUP;UK/Northern Ireland;Portadown;Irish unity;;;2;0;0;0;Y;0;0;0;102701;Reuters;09/01/1987;
09/01/1987;Fri;bomb-nd;PIRA;government;police;bomb kills 1 & injures 2 police;UK/Northern Ireland;Enniskillen;Irish unity;;20:00;3;0;0;0;Y;3;2;1;102701;Reuters;10/01/1987;
10/01/1987;Sat;;;;;;;;;;;;;;;;;;;;;;no event
11/01/1987;Sun;;;;;;;;;;;;;;;;;;;;;;no event
12/01/1987;Mon;bomb-nd;PIRA;government;police;police defuse 450 kg bomb under construction;UK/Northern Ireland;Belfast;Irish unity;;;3;0;0;0;N;8;0;0;102701;Reuters;12/01/1987;
13/01/1987;Tue;;;;;;;;;;;;;;;;;;;;;;no event
14/01/1987;Wed;;;;;;;;;;;;;;;;;;;;;;no event
15/01/1987;Thu;;;;;;;;;;;;;;;;;;;;;;no event
16/01/1987;Fri;;;;;;;;;;;;;;;;;;;;;;no event
17/01/1987;Sat;;;;;;;;;;;;;;;;;;;;;;no event
18/01/1987;Sun;;;;;;;;;;;;;;;;;;;;;;no event
19/01/1987;Mon;;;;;;;;;;;;;;;;;;;;;;no event
20/01/1987;Tue;strike;aircraft workers;firm;Short Brothers;Loyalists walk out as N.I. minister visits;UK/Northern Ireland;Belfast;British unity;;0.5 hour;200;0;0;0;N;0;0;0;350000;Reuters;21/01/1987;
21/01/1987;Wed;;;;;;;;;;;;;;;;;;;;;;no event
22/01/1987;Thu;;;;;;;;;;;;;;;;;;;;;;no event
23/01/1987;Fri;;;;;;;;;;;;;;;;;;;;;;no event
24/01/1987;Sat;demonstration;INLA;government;police;at funeral of INLA fighters shot in Ireland, clash with police;UK/Northern Ireland;Belfast;Irish unity;21/01/1987;;301;9;0;0;Y;301;1;0;102701;Reuters;25/01/1987;
25/01/1987;Sun;;;;;;;;;;;;;;;;;;;;;;no event
26/01/1987;Mon;assassination;PIRA;government;UDR;soldier shot dead on his doorstep;UK/Northern Ireland;Dungannon;Irish unity;;;2;0;0;0;Y;1;0;1;102701;Reuters;26/01/1987;
26/01/1987;Mon;arrest;DUP;government;police;arrest DUP hardliner for refusal to pay tax;UK/Northern Ireland;Belfast;tax protest;;;1;1;0;0;N;8;0;0;350000;Reuters;26/01/1987;
27/01/1987;Tue;;;;;;;;;;;;;;;;;;;;;;no event
28/01/1987;Wed;;;;;;;;;;;;;;;;;;;;;;no event
29/01/1987;Thu;;;;;;;;;;;;;;;;;;;;;;no event
30/01/1987;Fri;petition;Loyalists;UK;Queen;petition for referendum on Anglo-Irish accord;UK/Northern Ireland;Northern Ireland;Anglo-Irish accord;;;400000;0;0;0;N;0;0;0;500000;Reuters;30/01/1987;
30/01/1987;Fri;bomb-nd;PIRA;government;police;car bomb injures 4 police;UK/Northern Ireland;Belfast;Irish unity;;;3;0;0;0;Y;8;4;0;102701;Reuters;30/01/1987;
31/01/1987;Sat;;;;;;;;;;;;;;;;;;;;;;no event
01/02/1987;Sun;;;;;;;;;;;;;;;;;;;;;;no event
02/02/1987;Mon;;;;;;;;;;;;;;;;;;;;;;no event
