Date;Day;Action;Protester;State/target;Agent;Event;Country;Location;Issue;Link date;Time ;# Protesters;Arrests;Injuries;Deaths;Prop. Damage;# State;Injuries;State killed;OSD;Source;Story date;No event found
01/01/1980;Tue;;;;;;;;;;;;;;;;;;;;;;no event
02/01/1980;Wed;;;;;;;;;;;;;;;;;;;;;;no event
03/01/1980;Thu;;;;;;;;;;;;;;;;;;;;;;no event
04/01/1980;Fri;;;;;;;;;;;;;;;;;;;;;;no event
05/01/1980;Sat;;;;;;;;;;;;;;;;;;;;;;no event
06/01/1980;Sun;raid;PIRA;government;police;find bomb factory;Ireland;Dunleer;Irish unity;;;8;0;0;0;N;31;0;0;7424;Reuters;07/01/1980;
07/01/1980;Mon;;;;;;;;;;;;;;;;;;;;;;no event
08/01/1980;Tue;;;;;;;;;;;;;;;;;;;;;;no event
09/01/1980;Wed;;;;;;;;;;;;;;;;;;;;;;no event
10/01/1980;Thu;;;;;;;;;;;;;;;;;;;;;;no event
11/01/1980;Fri;;;;;;;;;;;;;;;;;;;;;;no event
12/01/1980;Sat;;;;;;;;;;;;;;;;;;;;;;no event
13/01/1980;Sun;;;;;;;;;;;;;;;;;;;;;;no event
14/01/1980;Mon;;;;;;;;;;;;;;;;;;;;;;no event
15/01/1980;Tue;;;;;;;;;;;;;;;;;;;;;;no event
16/01/1980;Wed;;;;;;;;;;;;;;;;;;;;;;no event
17/01/1980;Thu;;;;;;;;;;;;;;;;;;;;;;no event
18/01/1980;Fri;;;;;;;;;;;;;;;;;;;;;;no event
19/01/1980;Sat;;;;;;;;;;;;;;;;;;;;;;no event
20/01/1980;Sun;;;;;;;;;;;;;;;;;;;;;;no event
21/01/1980;Mon;;;;;;;;;;;;;;;;;;;;;;no event
22/01/1980;Tue;;;;;;;;;;;;;;;;;;;;;;no event
23/01/1980;Wed;demonstration;workers;government;;protest high taxes;Ireland;Dublin;taxes;;;250000;0;0;0;N;0;0;0;678827;Xinhau;23/01/1980;
24/01/1980;Thu;;;;;;;;;;;;;;;;;;;;;;no event
25/01/1980;Fri;;;;;;;;;;;;;;;;;;;;;;no event
26/01/1980;Sat;;;;;;;;;;;;;;;;;;;;;;no event
27/01/1980;Sun;;;;;;;;;;;;;;;;;;;;;;no event
28/01/1980;Mon;;;;;;;;;;;;;;;;;;;;;;no event
29/01/1980;Tue;;;;;;;;;;;;;;;;;;;;;;no event
30/01/1980;Wed;;;;;;;;;;;;;;;;;;;;;;no event
31/01/1980;Thu;;;;;;;;;;;;;;;;;;;;;;no event
01/02/1980;Fri;;;;;;;;;;;;;;;;;;;;;;no event
02/02/1980;Sat;;;;;;;;;;;;;;;;;;;;;;no event
03/02/1980;Sun;;;;;;;;;;;;;;;;;;;;;;no event
04/02/1980;Mon;;;;;;;;;;;;;;;;;;;;;;no event
05/02/1980;Tue;;;;;;;;;;;;;;;;;;;;;;no event
06/02/1980;Wed;;;;;;;;;;;;;;;;;;;;;;no event
07/02/1980;Thu;;;;;;;;;;;;;;;;;;;;;;no event
08/02/1980;Fri;;;;;;;;;;;;;;;;;;;;;;no event
09/02/1980;Sat;;;;;;;;;;;;;;;;;;;;;;no event
10/02/1980;Sun;;;;;;;;;;;;;;;;;;;;;;no event
11/02/1980;Mon;;;;;;;;;;;;;;;;;;;;;;no event
12/02/1980;Tue;;;;;;;;;;;;;;;;;;;;;;no event
13/02/1980;Wed;;;;;;;;;;;;;;;;;;;;;;no event
14/02/1980;Thu;;;;;;;;;;;;;;;;;;;;;;no event
15/02/1980;Fri;trial;UDA;government;court;2 UDA members convicted of attempted murder;Ireland;Dublin;anti-PIRA;;;2;2;0;0;N;0;0;0;350000;Reuters;15/02/1980;
16/02/1980;Sat;;;;;;;;;;;;;;;;;;;;;;no event
17/02/1980;Sun;;;;;;;;;;;;;;;;;;;;;;no event
18/02/1980;Mon;;;;;;;;;;;;;;;;;;;;;;no event
19/02/1980;Tue;;;;;;;;;;;;;;;;;;;;;;no event
20/02/1980;Wed;;;;;;;;;;;;;;;;;;;;;;no event
21/02/1980;Thu;;;;;;;;;;;;;;;;;;;;;;no event
22/02/1980;Fri;;;;;;;;;;;;;;;;;;;;;;no event
23/02/1980;Sat;;;;;;;;;;;;;;;;;;;;;;no event
24/02/1980;Sun;;;;;;;;;;;;;;;;;;;;;;no event
25/02/1980;Mon;;;;;;;;;;;;;;;;;;;;;;no event
26/02/1980;Tue;;;;;;;;;;;;;;;;;;;;;;no event
27/02/1980;Wed;;;;;;;;;;;;;;;;;;;;;;no event
28/02/1980;Thu;;;;;;;;;;;;;;;;;;;;;;no event
29/02/1980;Fri;;;;;;;;;;;;;;;;;;;;;;no event
01/03/1980;Sat;;;;;;;;;;;;;;;;;;;;;;no event
02/03/1980;Sun;;;;;;;;;;;;;;;;;;;;;;no event
03/03/1980;Mon;;;;;;;;;;;;;;;;;;;;;;no event
04/03/1980;Tue;;;;;;;;;;;;;;;;;;;;;;no event
05/03/1980;Wed;;;;;;;;;;;;;;;;;;;;;;no event
06/03/1980;Thu;;;;;;;;;;;;;;;;;;;;;;no event
07/03/1980;Fri;;;;;;;;;;;;;;;;;;;;;;no event
08/03/1980;Sat;;;;;;;;;;;;;;;;;;;;;;no event
09/03/1980;Sun;;;;;;;;;;;;;;;;;;;;;;no event
10/03/1980;Mon;;;;;;;;;;;;;;;;;;;;;;no event
11/03/1980;Tue;;;;;;;;;;;;;;;;;;;;;;no event
12/03/1980;Wed;;;;;;;;;;;;;;;;;;;;;;no event
13/03/1980;Thu;;;;;;;;;;;;;;;;;;;;;;no event
14/03/1980;Fri;;;;;;;;;;;;;;;;;;;;;;no event
15/03/1980;Sat;;;;;;;;;;;;;;;;;;;;;;no event
16/03/1980;Sun;;;;;;;;;;;;;;;;;;;;;;no event
17/03/1980;Mon;;;;;;;;;;;;;;;;;;;;;;no event
18/03/1980;Tue;;;;;;;;;;;;;;;;;;;;;;no event
19/03/1980;Wed;;;;;;;;;;;;;;;;;;;;;;no event
20/03/1980;Thu;;;;;;;;;;;;;;;;;;;;;;no event
21/03/1980;Fri;;;;;;;;;;;;;;;;;;;;;;no event
22/03/1980;Sat;;;;;;;;;;;;;;;;;;;;;;no event
23/03/1980;Sun;;;;;;;;;;;;;;;;;;;;;;no event
24/03/1980;Mon;;;;;;;;;;;;;;;;;;;;;;no event
25/03/1980;Tue;;;;;;;;;;;;;;;;;;;;;;no event
26/03/1980;Wed;hostage-nd;PIRA;government;police;gunman holds 3 hostage, then surrenders;Ireland;Dundalk;Irish unity;;;1;0;0;0;N;31;0;0;7424;Reuters;26/03/1980;
27/03/1980;Thu;;;;;;;;;;;;;;;;;;;;;;no event
28/03/1980;Fri;;;;;;;;;;;;;;;;;;;;;;no event
29/03/1980;Sat;;;;;;;;;;;;;;;;;;;;;;no event
30/03/1980;Sun;;;;;;;;;;;;;;;;;;;;;;no event
31/03/1980;Mon;;;;;;;;;;;;;;;;;;;;;;no event
01/04/1980;Tue;;;;;;;;;;;;;;;;;;;;;;no event
02/04/1980;Wed;;;;;;;;;;;;;;;;;;;;;;no event
03/04/1980;Thu;;;;;;;;;;;;;;;;;;;;;;no event
04/04/1980;Fri;;;;;;;;;;;;;;;;;;;;;;no event
05/04/1980;Sat;;;;;;;;;;;;;;;;;;;;;;no event
06/04/1980;Sun;;;;;;;;;;;;;;;;;;;;;;no event
07/04/1980;Mon;;;;;;;;;;;;;;;;;;;;;;no event
